;MSETrain;MSEValid
271;0,016382313;0,017861205
272;0,016379033;0,017860469
273;0,016375758;0,01785964
274;0,016372564;0,017858791
275;0,016369388;0,017857997
276;0,016366211;0,017857101
277;0,016363075;0,017856229
278;0,016359959;0,017855268
279;0,016356883;0,017854344
280;0,016353814;0,017853334
281;0,016350721;0,0178523
282;0,016347724;0,017851235
283;0,016344723;0,017850181
284;0,016341731;0,017849075
285;0,016338805;0,017847934
286;0,016335841;0,017846792
287;0,016332958;0,017845625
288;0,016330019;0,017844442
289;0,016327214;0,017843232
290;0,016324291;0,017841982
291;0,016321502;0,017840721
292;0,01631873;0,017839456
293;0,016315927;0,017838184
294;0,016313186;0,017836856
295;0,016310407;0,017835541
296;0,016307726;0,017834187
297;0,016305041;0,017832822
298;0,016302333;0,017831449
299;0,016299688;0,017830051
300;0,016296987;0,017828674
301;0,016294378;0,017827294
302;0,016291742;0,01782586
303;0,016289205;0,017824422
304;0,01628659;0,017822983
305;0,016284073;0,017821539
306;0,016281475;0,017820059
307;0,016278918;0,01781857
308;0,016276419;0,017817123
309;0,016273946;0,017815571
310;0,016271516;0,017814072
311;0,016269063;0,01781259
312;0,016266616;0,017811072
313;0,016264188;0,017809538
314;0,016261793;0,017807967
315;0,016259378;0,017806441
316;0,016256992;0,017804937
317;0,0162546;0,017803367
318;0,016252227;0,017801781
319;0,016249873;0,017800257
320;0,016247542;0,017798645
321;0,016245202;0,017797083
322;0,016242903;0,017795489
323;0,016240673;0,01779392
324;0,01623837;0,017792356
325;0,016236159;0,01779076
326;0,016233856;0,017789163
327;0,016231651;0,017787579
328;0,016229429;0,017785967
329;0,016227231;0,017784371
330;0,016225043;0,017782731
331;0,016222842;0,01778114
332;0,016220673;0,017779538
333;0,016218521;0,017777868
334;0,016216369;0,017776277
335;0,016214247;0,017774681
336;0,016212086;0,017773047
337;0,016209955;0,017771454
338;0,016207857;0,017769816
339;0,016205714;0,01776818
340;0,016203658;0,017766539
341;0,016201579;0,017764917
342;0,016199478;0,017763322
343;0,016197474;0,017761699
344;0,016195421;0,017760067
345;0,016193379;0,01775845
346;0,016191357;0,017756811
347;0,016189331;0,017755193
348;0,016187387;0,01775357
349;0,01618533;0,017751909
350;0,016183342;0,017750286
351;0,016181377;0,017748672
352;0,016179416;0,017747087
353;0,016177429;0,017745459
354;0,016175485;0,017743833
355;0,01617355;0,017742196
356;0,016171586;0,017740557
357;0,016169727;0,017738968
358;0,016167793;0,017737333
359;0,016165875;0,017735693
360;0,016163964;0,017734074
361;0,016162103;0,017732433
362;0,016160156;0,017730841
363;0,016158283;0,01772918
364;0,016156435;0,017727598
365;0,016154523;0,017725969
366;0,016152649;0,01772436
367;0,016150846;0,017722708
368;0,01614899;0,017721145
369;0,01614715;0,017719517
370;0,016145326;0,017717906
371;0,016143509;0,017716271
372;0,016141651;0,017714708
373;0,016139867;0,017713132
374;0,016138047;0,017711452
375;0,016136259;0,017709873
376;0,016134497;0,017708253
377;0,01613269;0,017706676
378;0,016130908;0,017705081
379;0,016129185;0,017703496
380;0,016127408;0,017701895
381;0,016125684;0,017700275
382;0,01612391;0,017698693
383;0,01612216;0,017697111
384;0,016120383;0,017695491
385;0,016118652;0,0176939
386;0,016116982;0,017692306
387;0,016115222;0,01769073
388;0,016113489;0,017689153
389;0,016111815;0,017687565
390;0,01611005;0,017685983
391;0,016108445;0,017684371
392;0,016106701;0,017682806
393;0,016105013;0,01768123
394;0,016103318;0,017679646
395;0,01610171;0,017678053
